Ticker,Date,Period,Metric,Value,YoY,QoQ,Consensus_Value,Consensus_YoY,Consensus_QoQ
NFLX,6/30/2018,20182,DVD Revenue,92.90,-0.190287353,-0.059209527,92.57,-0.19318,-0.06257
NFLX,3/31/2018,20181,DVD Revenue,98.75,-0.179768095,-0.060873783,98.79,-0.17946,-0.06052
NFLX,12/31/2017,20174,DVD Revenue,105.15,-0.168186816,-0.045928829,104.41,-0.17402,-0.05262
NFLX,9/30/2017,20173,DVD Revenue,110.21,-0.167410765,-0.039420588,109.62,-0.17188,-0.04458
NFLX,6/30/2017,20172,DVD Revenue,114.74,-0.172959375,-0.046987391,115.16,-0.16991,-0.04347
NFLX,3/31/2017,20171,DVD Revenue,120.39,-0.168245283,-0.047613774,120.92,-0.16460,-0.04344
NFLX,12/31/2016,20164,DVD Revenue,126.41,-0.162800093,-0.045038716,125.69,-0.16757,-0.05047
NFLX,9/30/2016,20163,DVD Revenue,132.38,-0.159651863,-0.045822161,132.87,-0.15654,-0.04228
NFLX,6/30/2016,20162,DVD Revenue,138.73,-0.154166006,-0.041555265,138.76,-0.15400,-0.04137
NFLX,3/31/2016,20161,DVD Revenue,144.75,-0.164278291,-0.041378854,146.00,-0.15706,-0.03310
NFLX,12/31/2015,20154,DVD Revenue,151.00,-0.158750676,-0.041447652,151.51,-0.15586,-0.03815
NFLX,9/30/2015,20153,DVD Revenue,157.52,-0.155806363,-0.039593215,157.53,-0.15578,-0.03956
NFLX,6/30/2015,20152,DVD Revenue,164.02,-0.157676881,-0.053013857,164.47,-0.15534,-0.05039
NFLX,3/31/2015,20151,DVD Revenue,173.20,-0.152451139,-0.035038359,171.10,-0.16274,-0.04675
NFLX,12/31/2014,20144,DVD Revenue,179.49,-0.158348104,-0.038092788,178.28,-0.16403,-0.04458
NFLX,9/30/2014,20143,DVD Revenue,186.60,-0.158961531,-0.041721232,183.71,-0.17199,-0.05657
NFLX,6/30/2014,20142,DVD Revenue,194.72,-0.162061442,-0.047138789,,,
NFLX,3/31/2014,20141,DVD Revenue,204.35,-0.160049816,-0.041752244,,,
NFLX,12/31/2013,20134,DVD Revenue,213.26,-0.161616241,-0.038793861,,,
NFLX,9/30/2013,20133,DVD Revenue,221.87,-0.182269514,-0.045253269,,,
NFLX,6/30/2013,20132,DVD Revenue,232.38,-0.202768582,-0.04485127,,,
NFLX,3/31/2013,20131,DVD Revenue,243.29,-0.238998314,-0.043539282,,,
NFLX,12/31/2018,20184,WW Revenue,4186.84,0.274364339,0.046976102,4204.70,0.27968,0.05134
NFLX,9/30/2018,20183,WW Revenue,3999.37,0.339887077,0.023572469,3989.01,0.33642,0.02092
NFLX,6/30/2018,20182,WW Revenue,3907.27,0.402735774,0.055774664,3934.04,0.41235,0.06301
NFLX,3/31/2018,20181,WW Revenue,3700.86,0.403628489,0.126333522,3685.58,0.39784,0.12169
NFLX,12/31/2017,20174,WW Revenue,3285.76,0.326216196,0.100807442,3278.38,0.32324,0.09834
NFLX,9/30/2017,20173,WW Revenue,2984.86,0.30332488,0.071584124,2972.21,0.29780,0.06704
NFLX,6/30/2017,20172,WW Revenue,2785.46,0.32313258,0.056446569,2768.41,0.31503,0.04998
NFLX,3/31/2017,20171,WW Revenue,2636.64,0.346777604,0.064214477,2652.56,0.35491,0.07064
NFLX,12/31/2016,20164,WW Revenue,2477.54,0.358797872,0.081806821,2472.16,0.35585,0.07946
NFLX,9/30/2016,20163,WW Revenue,2290.19,0.317445516,0.087869869,2278.82,0.31091,0.08247
NFLX,6/30/2016,20162,WW Revenue,2105.20,0.279997373,0.075325784,2109.98,0.28290,0.07776
NFLX,3/31/2016,20161,WW Revenue,1957.74,0.244485354,0.073712811,1964.53,0.24881,0.07744
NFLX,12/31/2015,20154,WW Revenue,1823.33,0.228058607,0.048884146,1821.98,0.22715,0.04811
NFLX,9/30/2015,20153,WW Revenue,1738.36,0.233372735,0.056947371,1754.25,0.24465,0.06661
NFLX,6/30/2015,20152,WW Revenue,1644.69,0.2270109,0.045492137,1645.51,0.22762,0.04601
NFLX,3/31/2015,20151,WW Revenue,1573.13,0.238597453,0.059540199,1567.93,0.23451,0.05604
NFLX,12/31/2014,20144,WW Revenue,1484.73,0.263351004,0.053422939,1484.81,0.26342,0.05348
NFLX,9/30/2014,20143,WW Revenue,1409.43,0.274351966,0.051495553,1407.07,0.27221,0.04973
NFLX,6/30/2014,20142,WW Revenue,1340.41,0.253452494,0.055364624,,,
NFLX,3/31/2014,20141,WW Revenue,1270.09,0.24036853,0.080715264,,,
NFLX,12/31/2013,20134,WW Revenue,1175.23,,0.062595897,,,
NFLX,9/30/2013,20133,WW Revenue,1106.00,,0.034250944,,,
NFLX,6/30/2013,20132,WW Revenue,1069.37,,0.044348369,,,
NFLX,3/31/2013,20131,WW Revenue,1023.96,,,,,
NFLX,12/31/2018,20184,WW Contribution Profit,723.09,0.172785043,-0.244720831,753.74,0.24607,-0.21314
NFLX,9/30/2018,20183,WW Contribution Profit,957.92,0.239516484,0.049389154,1066.62,0.95290,0.16847
NFLX,6/30/2018,20182,WW Contribution Profit,912.83,0.233623988,0.057130284,1076.09,1.22973,0.24619
NFLX,3/31/2018,20181,WW Contribution Profit,863.50,0.233324398,0.427522839,950.17,0.61112,0.57080
NFLX,12/31/2017,20174,WW Contribution Profit,604.89,0.184095893,0.107511526,732.98,0.65317,0.34203
NFLX,9/30/2017,20173,WW Contribution Profit,546.17,0.182981508,0.131713523,672.11,0.74390,0.39265
NFLX,6/30/2017,20172,WW Contribution Profit,482.61,0.173259464,-0.181681916,585.32,0.72550,-0.00752
NFLX,3/31/2017,20171,WW Contribution Profit,589.76,0.223677528,0.330142677,685.12,1.22666,0.54523
NFLX,12/31/2016,20164,WW Contribution Profit,443.38,0.178958895,0.150426956,504.61,0.44260,0.30932
NFLX,9/30/2016,20163,WW Contribution Profit,385.40,0.168284438,0.136154733,427.84,0.20081,0.26127
NFLX,6/30/2016,20162,WW Contribution Profit,339.22,0.161132603,0.102463518,393.00,0.20624,0.27725
NFLX,3/31/2016,20161,WW Contribution Profit,307.69,0.157166237,-0.120370503,374.66,0.12833,0.07110
NFLX,12/31/2015,20154,WW Contribution Profit,349.80,0.191843728,-0.01824331,333.35,0.24977,-0.06441
NFLX,9/30/2015,20153,WW Contribution Profit,356.30,0.204961012,0.093593655,345.30,0.11610,0.05986
NFLX,6/30/2015,20152,WW Contribution Profit,325.80,0.198092776,-0.018819398,306.26,0.00482,-0.07766
NFLX,3/31/2015,20151,WW Contribution Profit,332.05,0.211076778,0.244918924,311.30,0.18005,0.16713
NFLX,12/31/2014,20144,WW Contribution Profit,266.73,0.179645699,-0.137883666,252.30,0.11373,-0.18451
NFLX,9/30/2014,20143,WW Contribution Profit,309.38,0.219509703,0.015052691,287.34,0.44484,-0.05728
NFLX,6/30/2014,20142,WW Contribution Profit,304.80,0.227390636,0.155383711,,,
NFLX,3/31/2014,20141,WW Contribution Profit,263.81,0.207705917,0.164516898,,,
NFLX,12/31/2013,20134,WW Contribution Profit,226.54,0.192758864,0.139110278,,,
NFLX,9/30/2013,20133,WW Contribution Profit,198.87,0.179811193,0.02464874,,,
NFLX,6/30/2013,20132,WW Contribution Profit,194.09,0.181496243,0.155809508,,,
NFLX,3/31/2013,20131,WW Contribution Profit,167.92,0.163993551,,,,
